,Tag_Id,dominant_topic,Id,Topics,Tags,Department
1432,1432,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1433,1433,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1434,1434,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1435,1435,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1436,1436,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1437,1437,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1438,1438,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1439,1439,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1440,1440,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1441,1441,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1442,1442,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1443,1443,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1444,1444,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1445,1445,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1446,1446,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1447,1447,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1448,1448,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1449,1449,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1450,1450,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1451,1451,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
